team,assists,draw_controls,free_position,shots_on_goal,shots_per_game,goals,caused_turnovers
Massachusetts,9.91,15.55,0.536,25.09,35.55,16.55,12.45
Clemson,9.47,14.73,0.467,21.87,29.33,15.4,13.67
North Carolina,9.25,16.33,0.571,28.25,37.75,19.58,11.0
Johns Hopkins,9.15,11.62,0.508,20.92,30.85,14.69,14.23
Northwestern,9.0,17.73,0.558,24.64,34.27,16.45,7.91
Rutgers,8.92,15.17,0.4,21.83,29.33,13.5,10.0
Columbia,8.9,14.8,0.514,20.7,29.9,13.9,6.6
Army West Point,8.73,15.36,0.418,23.18,33.09,15.09,10.27
Duke,8.31,17.23,0.407,22.62,29.85,14.46,10.15
Dartmouth,8.1,17.9,0.649,23.9,30.2,15.4,6.7
Canisius,8.08,15.08,0.492,24.75,31.92,15.67,8.08
Penn St.,8.08,12.92,0.515,21.5,29.08,14.5,8.92
Arizona St.,8.0,17.0,0.462,24.58,30.83,13.83,6.33
Richmond,8.0,14.73,0.422,19.91,28.18,13.45,7.27
Delaware,7.92,14.0,0.456,21.33,30.83,13.75,10.58
Notre Dame,7.92,13.75,0.393,25.0,34.0,14.42,11.25
Jacksonville,7.64,15.55,0.382,23.0,29.82,14.45,8.73
Villanova,7.55,14.91,0.409,19.0,29.73,11.64,8.91
Loyola Maryland,7.31,18.0,0.488,21.62,29.69,13.15,6.31
Quinnipiac,7.25,12.17,0.542,21.92,28.83,13.83,9.75
Stony Brook,7.23,13.31,0.446,24.85,33.54,13.77,12.15
Boston College,7.17,14.08,0.569,22.25,30.25,12.92,6.08
Lehigh,7.17,11.5,0.375,20.92,28.75,12.58,8.42
Navy,7.08,13.92,0.462,24.67,34.17,14.67,8.08
Akron,7.0,10.91,0.625,19.36,28.45,12.55,7.91
Bucknell,7.0,9.9,0.381,21.4,27.7,13.5,9.1
Maryland,7.0,15.75,0.492,22.67,31.25,14.17,6.67
Stanford,7.0,13.17,0.591,21.58,27.58,14.17,10.75
VCU,6.75,11.42,0.444,19.75,27.75,12.17,11.5
Yale,6.73,13.0,0.533,23.0,30.64,13.73,9.27
UMBC,6.7,12.6,0.5,23.6,31.2,13.0,8.1
Monmouth,6.67,12.0,0.455,20.83,29.08,12.08,8.5
Denver,6.58,13.75,0.549,22.25,30.83,14.67,9.67
Wofford,6.58,15.33,0.466,21.25,28.25,13.17,10.08
Marquette,6.42,13.5,0.479,22.5,28.75,13.25,10.5
UAlbany,6.42,15.17,0.556,19.83,27.42,12.08,7.58
Michigan,6.33,14.67,0.426,20.58,28.5,12.42,7.08
Georgetown,6.18,10.45,0.5,21.09,28.82,11.91,7.27
Saint Joseph's,6.17,13.5,0.5,22.0,30.17,12.58,7.67
Cincinnati,6.15,15.62,0.635,20.0,27.23,12.54,6.77
Harvard,6.11,12.67,0.426,20.33,28.89,12.0,9.11
Charlotte,6.09,14.82,0.333,21.73,29.91,13.55,7.36
South Fla.,6.09,15.55,0.411,23.82,33.82,14.09,9.18
James Madison,6.08,12.08,0.39,18.5,27.08,11.5,11.25
Colorado,6.0,9.44,0.472,21.56,31.33,11.89,11.0
Hofstra,6.0,13.17,0.511,19.75,28.08,11.25,7.58
Holy Cross,6.0,14.0,0.439,19.36,25.36,10.64,9.55
